Destination,Condition,Month,Temperature,Festival,Holiday Season,Popularity Index
Srinagar,Clouds,May,19,No,Yes,67
Chennai,Clear,July,29,No,Yes,35
Ahmedabad,Clear,May,35.7,No,Yes,31
Alleppey,Clear,March,17.5,Yes,No,64
Statue of Unity (Kevadia),Rain,October,27,Yes,Yes,66
Aurangabad,Heavy Rain,March,26.9,Yes,No,43
Darjeeling,Snow,May,24.9,No,Yes,56
Coorg,Clear,May,28.9,No,Yes,60
Mathura & Vrindavan,Heavy Rain,April,24,No,No,47
Mysuru,Clear,February,14.6,No,No,63
Shirdi,Clear,October,28.9,Yes,Yes,71
Dwarka,Clear,January,24.9,Yes,Yes,71
Nashik,Clear,June,28.3,No,Yes,26
Madurai,Fog,July,22.7,No,Yes,39
Ayodhya,Storm,July,32.2,No,Yes,38
Ayodhya,Rain,August,22.2,Yes,No,48
Pushkar,Clear,December,23,Yes,Yes,76
Nainital,Clear,September,15,No,No,30
Nashik,Clear,July,22,No,Yes,28
Shirdi,Rain,November,13.9,Yes,Yes,68
Statue of Unity (Kevadia),Clear,November,21,Yes,Yes,69
Kolkata,Clear,July,28.6,No,Yes,47
Thiruvananthapuram,Clear,January,14.3,Yes,Yes,42
Pushkar,Clear,January,8.7,Yes,Yes,65
Bengaluru,Clear,June,36.1,No,Yes,33
Coorg,Clear,June,35,No,Yes,50
Chennai,Rain,August,26.7,Yes,No,40
Vaishno Devi (Katra),Clear,January,20.9,Yes,Yes,64
Delhi,Rain,August,28.6,Yes,No,55
Lucknow,Clouds,October,27.5,Yes,Yes,59
Vaishno Devi (Katra),Clear,February,11.1,No,No,49
Agra,Clear,April,30.8,No,No,43
Somnath,Clear,August,27.6,Yes,No,35
Delhi,Rain,September,24.9,No,No,56
Shirdi,Fog,December,18.5,Yes,Yes,68
Kolkata,Rain,August,26.9,Yes,No,52
Mysuru,Clear,March,18,Yes,No,72
Ahmedabad,Clouds,June,34.2,No,Yes,27
Kanyakumari,Clouds,August,23.5,Yes,No,49
Udaipur,Clear,February,16.3,No,No,50
Munnar,Heavy Rain,January,4.6,Yes,Yes,49
Pushkar,Clear,February,15.8,No,No,60
Dharamshala,Clear,October,23.4,Yes,Yes,56
Delhi,Rain,October,28.3,Yes,Yes,71
Jaipur,Clear,June,31.4,No,Yes,37
Goa,Clear,May,27.6,No,Yes,62
Manali,Clear,January,4,Yes,Yes,36
Aurangabad,Clouds,April,22.3,No,No,27
Darjeeling,Clear,June,23.7,No,Yes,38
Pune,Clear,December,11.4,Yes,Yes,66
Dharamshala,Fog,November,23.6,Yes,Yes,57
Madurai,Clouds,August,29.6,Yes,No,44
Tirupati,Clear,February,22.4,No,No,60
Goa,Fog,June,25.8,No,Yes,49
Amritsar,Clouds,November,10.5,Yes,Yes,65
Vijayawada,Rain,November,18.6,Yes,Yes,73
Tirupati,Clear,March,28.3,Yes,No,69
Jodhpur,Clouds,May,24.5,No,Yes,30
Mathura & Vrindavan,Clouds,May,30.1,No,Yes,47
Mysuru,Rain,April,25.6,No,No,56
Lucknow,Rain,November,15.4,Yes,Yes,57
Jodhpur,Clear,June,31.2,No,Yes,17
Prayagraj,Rain,February,8.2,No,No,47
Manali,Clouds,February,11.5,No,No,34
Thiruvananthapuram,Clouds,February,21.9,No,No,35
Dharamshala,Fog,December,16,Yes,Yes,56
Mathura & Vrindavan,Rain,June,25.3,No,Yes,43
Pune,Clear,January,23.8,Yes,Yes,67
Varanasi,Fog,February,16.2,No,No,38
Rameswaram,Clouds,April,28,No,No,43
Ooty,Clouds,July,10.7,No,Yes,38
Pushkar,Clear,March,24.7,Yes,No,69
Shimla,Clear,May,26.1,No,Yes,44
Dharamshala,Rain,January,20.7,Yes,Yes,54
Munnar,Clear,February,15.2,No,No,49
Jodhpur,Storm,July,26.7,No,Yes,20
Rameswaram,Clear,May,32.8,No,Yes,36
Varanasi,Clear,March,16.7,Yes,No,49
Shirdi,Clouds,January,10.4,Yes,Yes,62
Nainital,Rain,October,18.3,Yes,Yes,47
Darjeeling,Clear,July,14.5,No,Yes,37
Shimla,Fog,June,11.4,No,Yes,18
Somnath,Clouds,September,28.5,No,No,34
Shirdi,Clear,February,11,No,No,54
Udaipur,Heavy Rain,March,33.4,Yes,No,53
Shimla,Clear,July,22.8,No,Yes,26
Munnar,Fog,March,9.8,Yes,No,56
Statue of Unity (Kevadia),Fog,December,17.7,Yes,Yes,68
Aurangabad,Clear,May,31,No,Yes,27
Mathura & Vrindavan,Clear,July,29.2,No,Yes,45
Lucknow,Clear,December,9.1,Yes,Yes,55
Amritsar,Clear,December,23.4,Yes,Yes,68
Darjeeling,Heavy Snow,August,17.5,Yes,No,42
Agra,Clear,May,40,No,Yes,36
Alleppey,Rain,April,26.6,No,No,55
Rishikesh & Haridwar,Clear,July,30.5,No,Yes,37
Mumbai,Fog,January,15.3,Yes,Yes,41
Vijayawada,Rain,December,6.1,Yes,Yes,67
Dwarka,Rain,February,23.6,No,No,61
Pushkar,Clear,April,33.3,No,No,49
Jaisalmer,Clouds,August,25.4,Yes,No,51
Amritsar,Clear,January,23.2,Yes,Yes,67
Bengaluru,Rain,July,23.9,No,Yes,40
Darjeeling,Clear,September,23.6,No,No,44
Hampi,Clouds,May,34.6,No,Yes,50
Amritsar,Clouds,February,9.4,No,No,51
Manali,Clear,March,14.2,Yes,No,47
Darjeeling,Snow,October,2.2,Yes,Yes,48
Hampi,Rain,June,30.7,No,Yes,49
Nashik,Rain,August,27.7,Yes,No,32
Mumbai,Clear,February,23.7,No,No,35
Madurai,Rain,September,20.4,No,No,45
Jaipur,Rain,July,19.8,No,Yes,40
Dharamshala,Clear,February,26,No,No,45
Mathura & Vrindavan,Clear,August,28.6,Yes,No,51
Mathura & Vrindavan,Clear,September,22.1,No,No,52
Thiruvananthapuram,Clouds,March,22.5,Yes,No,42
Dharamshala,Clouds,March,27.6,Yes,No,51
Agra,Clear,June,32.6,No,Yes,38
Vaishno Devi (Katra),Clouds,March,15.6,Yes,No,58
Amritsar,Clear,March,17,Yes,No,65
Udaipur,Clouds,April,21,No,No,43
Dwarka,Fog,March,24.4,Yes,No,67
Goa,Rain,July,26,No,Yes,48
Shirdi,Rain,March,19.4,Yes,No,67
Aurangabad,Clear,June,32.2,No,Yes,21
Kanyakumari,Rain,September,23.9,No,No,48
Vijayawada,Clouds,January,21.4,Yes,Yes,71
Kolkata,Clear,September,24.5,No,No,54
Madurai,Clear,October,21.5,Yes,Yes,62
Shirdi,Clear,April,26.5,No,No,55
Jaipur,Rain,August,23.2,Yes,No,46
Jodhpur,Clear,August,29.7,Yes,No,24
Thiruvananthapuram,Storm,April,30.2,No,No,24
Tirupati,Rain,April,33.3,No,No,50
Ayodhya,Clear,September,22.3,No,No,50
Jodhpur,Clear,September,26.2,No,No,28
Pushkar,Clear,May,35.7,No,Yes,48
Somnath,Clear,October,31,Yes,Yes,51
Bengaluru,Clear,August,31.3,Yes,No,44
Nainital,Rain,November,12.1,Yes,Yes,41
Shirdi,Clouds,May,33.1,No,Yes,47
Udaipur,Rain,May,28.5,No,Yes,43
Munnar,Heavy Rain,April,29.1,No,No,58
Pune,Clear,February,11,No,No,52
Madurai,Rain,November,11,Yes,Yes,57
Srinagar,Clouds,June,24.3,No,Yes,53
Kochi,Heavy Rain,January,16.5,Yes,Yes,54
Mathura & Vrindavan,Clear,October,20,Yes,Yes,67
Agra,Clouds,July,27.4,No,Yes,44
Shimla,Clouds,August,17.3,Yes,No,28
Jodhpur,Clear,October,21.7,Yes,Yes,46
Rameswaram,Heavy Rain,June,27.5,No,Yes,33
Vijayawada,Clouds,February,21.5,No,No,62
Visakhapatnam,Rain,May,31.2,No,Yes,49
Aurangabad,Rain,July,22.3,No,Yes,25
Bengaluru,Rain,September,21.5,No,No,46
Mysuru,Clear,May,37.1,No,Yes,51
Hampi,Clear,July,32.7,No,Yes,49
Srinagar,Clouds,July,14.7,No,Yes,42
Lucknow,Fog,January,15,Yes,Yes,53
Nashik,Clear,September,27.9,No,No,34
Rameswaram,Rain,July,24.8,No,Yes,33
Vaishno Devi (Katra),Clouds,April,23.4,No,No,45
Pushkar,Storm,June,32.4,No,Yes,46
Visakhapatnam,Heavy Rain,June,25.9,No,Yes,47
Jaisalmer,Clear,September,25.5,No,No,53
Nainital,Rain,December,0.5,Yes,Yes,27
Aurangabad,Clear,August,24.5,Yes,No,32
Kanyakumari,Rain,October,21.3,Yes,Yes,70
Mathura & Vrindavan,Fog,November,16,Yes,Yes,65
Shimla,Clear,September,15.3,No,No,28
Ooty,Clear,August,17.2,Yes,No,47
Mumbai,Storm,March,20.3,Yes,No,41
Dharamshala,Clear,April,36.7,No,No,28
Chennai,Clear,September,22.6,No,No,41
Jaipur,Clear,September,30.5,No,No,45
Chennai,Clear,October,20.8,Yes,Yes,57
Nashik,Clear,October,31.7,Yes,Yes,46
Mumbai,Clear,April,25.4,No,No,26
Jaisalmer,Clear,October,25,Yes,Yes,72
Dharamshala,Clouds,May,31.2,No,Yes,35
Statue of Unity (Kevadia),Clear,January,15.1,Yes,Yes,63
Somnath,Clear,November,23.6,Yes,Yes,55
Amritsar,Rain,April,24.8,No,No,52
Somnath,Clouds,December,15,Yes,Yes,49
Coorg,Clear,July,30.2,No,Yes,56
Lucknow,Clear,February,22.5,No,No,48
Jaipur,Heavy Rain,October,21.7,Yes,Yes,62
Munnar,Clear,May,23.2,No,Yes,63
Munnar,Clear,June,21.1,No,Yes,48
Rameswaram,Clear,August,33,Yes,No,37
Ayodhya,Clear,October,18.9,Yes,Yes,68
Varanasi,Clear,April,27.8,No,No,37
Munnar,Clear,July,24.7,No,Yes,40
Mumbai,Heavy Rain,May,33.7,No,Yes,22
Pushkar,Clear,July,30.3,No,Yes,50
Thiruvananthapuram,Clear,May,34.2,No,Yes,23
Ajmer,Fog,March,19.3,Yes,No,53
Udaipur,Clear,June,28,No,Yes,40
Mysuru,Clear,June,31.9,No,Yes,51
Ooty,Clouds,September,13.4,No,No,44
Mumbai,Fog,June,21.6,No,Yes,22
Udaipur,Rain,July,25.8,No,Yes,40
Alleppey,Heavy Rain,May,33.4,No,Yes,49
Prayagraj,Fog,March,19.4,Yes,No,61
Delhi,Rain,November,17.9,Yes,Yes,72
Statue of Unity (Kevadia),Rain,February,15.6,No,No,53
Kodaikanal,Clear,December,-1.5,Yes,Yes,40
Coorg,Clouds,August,27.5,Yes,No,63
Dharamshala,Clouds,June,35.1,No,Yes,27
Agra,Clear,August,23.7,Yes,No,49
Statue of Unity (Kevadia),Rain,March,28.7,Yes,No,61
Amritsar,Fog,May,29.1,No,Yes,48
Goa,Clear,August,25.1,Yes,No,53
Statue of Unity (Kevadia),Rain,April,25.8,No,No,46
Ahmedabad,Fog,July,29.2,No,Yes,32
Darjeeling,Snow,November,8.4,Yes,Yes,50
Alleppey,Clear,June,34.6,No,Yes,37
Coorg,Rain,September,24.8,No,No,63
Darjeeling,Rain,December,5.7,Yes,Yes,41
Thiruvananthapuram,Clouds,June,33.1,No,Yes,19
Vijayawada,Clear,March,27.2,Yes,No,68
Darjeeling,Rain,January,4.5,Yes,Yes,44
Ahmedabad,Clear,August,26.2,Yes,No,40
Somnath,Clear,January,13.6,Yes,Yes,47
Rishikesh & Haridwar,Clear,August,22.8,Yes,No,45
Goa,Clear,September,23.5,No,No,53
Pushkar,Clear,August,22.1,Yes,No,57
Vijayawada,Fog,April,18.6,No,No,51
Ayodhya,Storm,November,24.9,Yes,Yes,69
Varanasi,Clear,May,41.7,No,Yes,22
Ayodhya,Rain,December,20.4,Yes,Yes,66
Dwarka,Clear,April,31.5,No,No,50
Dwarka,Clear,May,36.3,No,Yes,47
Prayagraj,Clear,April,32.9,No,No,42
Visakhapatnam,Rain,July,29.6,No,Yes,47
Jaisalmer,Storm,November,19.6,Yes,Yes,72
Ahmedabad,Clear,September,24.2,No,No,41
Kochi,Clear,February,25.9,No,No,48
Vijayawada,Clear,May,39.5,No,Yes,44
Prayagraj,Clear,May,28,No,Yes,48
Jaisalmer,Clear,December,15,Yes,Yes,70
Mysuru,Rain,July,30,No,Yes,53
Hampi,Clear,August,26.6,Yes,No,59
Amritsar,Clear,June,29.7,No,Yes,42
Rameswaram,Rain,September,29.7,No,No,39
Coorg,Rain,October,28.3,Yes,Yes,78
Jaipur,Clear,November,13.9,Yes,Yes,60
Pune,Heavy Rain,March,26.7,Yes,No,63
Lucknow,Clear,March,25.5,Yes,No,54
Ajmer,Fog,April,31.7,No,No,35
Mysuru,Heavy Rain,August,32.4,Yes,No,57
Munnar,Clear,August,22,Yes,No,44
Goa,Heavy Rain,October,29.9,Yes,Yes,72
Mathura & Vrindavan,Rain,December,21,Yes,Yes,69
Pushkar,Clear,September,23.7,No,No,58
Dharamshala,Rain,July,22.2,No,Yes,34
Kolkata,Clear,October,24.2,Yes,Yes,69
Goa,Fog,November,16.3,Yes,Yes,73
Delhi,Clear,December,14.2,Yes,Yes,72
Alleppey,Clouds,July,20.4,No,Yes,41
Hampi,Clouds,September,21.4,No,No,59
Rishikesh & Haridwar,Clear,September,26.3,No,No,45
Jaipur,Clear,December,21.7,Yes,Yes,66
Pushkar,Clear,October,19.8,Yes,Yes,73
Munnar,Clouds,September,9.2,No,No,42
Thiruvananthapuram,Clear,July,24,No,Yes,25
Goa,Clouds,December,11.2,Yes,Yes,72
Darjeeling,Clear,February,18.1,No,No,46
Tirupati,Rain,May,24.3,No,Yes,52
Delhi,Clear,January,22.6,Yes,Yes,71
Nainital,Heavy Snow,January,8.6,Yes,Yes,35
Delhi,Clouds,February,9.6,No,No,55
Goa,Clear,January,21,Yes,Yes,76
Lucknow,Rain,April,23.2,No,No,38
Munnar,Heavy Rain,October,8.6,Yes,Yes,57
Goa,Storm,February,20.6,No,No,66
Udaipur,Clouds,August,30.6,Yes,No,44
Nainital,Fog,February,4,No,No,25
Vijayawada,Rain,June,31.4,No,Yes,46
Chennai,Clear,November,18.9,Yes,Yes,58
Aurangabad,Clouds,September,19.9,No,No,32
Chennai,Clouds,December,13.5,Yes,Yes,56
Pushkar,Clouds,November,20.7,Yes,Yes,75
Jaipur,Clear,January,12,Yes,Yes,56
Jodhpur,Clear,November,13.1,Yes,Yes,44
Thiruvananthapuram,Clear,August,33.6,Yes,No,26
Darjeeling,Clouds,March,20.3,Yes,No,58
Somnath,Fog,February,12.1,No,No,35
Delhi,Clouds,March,18.4,Yes,No,67
Alleppey,Clouds,August,21.2,Yes,No,45
Udaipur,Rain,September,19,No,No,46
Vijayawada,Clear,July,27.7,No,Yes,51
Pushkar,Clear,December,12.4,Yes,Yes,72
Agra,Fog,September,21.5,No,No,49
Coorg,Rain,November,9.4,Yes,Yes,73
Vijayawada,Rain,August,27.2,Yes,No,56
Jaipur,Clear,February,27.6,No,No,52
Tirupati,Clear,June,26.5,No,Yes,47
Jodhpur,Clouds,December,15.7,Yes,Yes,45
Shimla,Rain,October,12.5,Yes,Yes,40
Nainital,Fog,March,16.5,Yes,No,44
Kodaikanal,Clear,January,5.7,Yes,Yes,47
Munnar,Heavy Rain,November,11.1,Yes,Yes,57
Varanasi,Clear,June,30.7,No,Yes,26
Shimla,Clear,November,9.4,Yes,Yes,38
Manali,Clear,April,16.5,No,No,45
Vaishno Devi (Katra),Heavy Snow,May,30,No,Yes,44
Hampi,Clear,October,21.7,Yes,Yes,75
Aurangabad,Clear,October,27.8,Yes,Yes,48
Kolkata,Clear,November,27.7,Yes,Yes,71
Jaipur,Rain,March,29.3,Yes,No,56
Udaipur,Clear,October,23.6,Yes,Yes,63
Ahmedabad,Clear,October,25.8,Yes,Yes,56
Thiruvananthapuram,Rain,September,21.5,No,No,30
Darjeeling,Fog,April,27.1,No,No,54
Madurai,Clear,December,10.6,Yes,Yes,59
Manali,Clear,May,19.9,No,Yes,50
Ooty,Clear,October,14.1,Yes,Yes,61
Srinagar,Fog,August,17.1,Yes,No,51
Visakhapatnam,Fog,August,22.5,Yes,No,54
Vaishno Devi (Katra),Clear,June,28.7,No,Yes,42
Varanasi,Rain,July,29.3,No,Yes,26
Mumbai,Clear,July,26.7,No,Yes,25
Ahmedabad,Clear,November,14.8,Yes,Yes,55
Hampi,Clear,November,27,Yes,Yes,76
Madurai,Clear,January,12.8,Yes,Yes,56
Dharamshala,Rain,August,21.9,Yes,No,39
Ooty,Clouds,November,6.1,Yes,Yes,54
Jodhpur,Clear,January,19.3,Yes,Yes,46
Kodaikanal,Rain,February,6.2,No,No,40
Goa,Rain,March,17.3,Yes,No,70
Jodhpur,Clear,February,11.6,No,No,32
Kodaikanal,Clear,March,7.8,Yes,No,53
Tirupati,Clouds,July,23.9,No,Yes,46
Goa,Clear,April,32.3,No,No,60
Shimla,Clear,December,2.4,Yes,Yes,26
Statue of Unity (Kevadia),Rain,May,25.1,No,Yes,48
Kanyakumari,Clouds,November,25.9,Yes,Yes,72
Somnath,Clear,March,32.3,Yes,No,47
Jodhpur,Clear,March,30.8,Yes,No,38
Bengaluru,Clear,October,26.5,Yes,Yes,63
Amritsar,Clear,July,28.1,No,Yes,44
Coorg,Clear,December,8.2,Yes,Yes,75
Dwarka,Clear,June,34.7,No,Yes,44
Vaishno Devi (Katra),Clear,July,32.7,No,Yes,40
Kolkata,Rain,December,17.8,Yes,Yes,70
Mathura & Vrindavan,Heavy Rain,January,12.9,Yes,Yes,61
Vaishno Devi (Katra),Clear,August,22.1,Yes,No,49
Kodaikanal,Clear,April,22,No,No,56
Thiruvananthapuram,Rain,October,20.5,Yes,Yes,46
Delhi,Clear,April,22.2,No,No,53
Chennai,Heavy Rain,January,24.5,Yes,Yes,55
Bengaluru,Clear,November,27.9,Yes,Yes,64
Amritsar,Clear,August,32,Yes,No,47
Kolkata,Clear,January,23.9,Yes,Yes,68
Munnar,Clouds,December,-4.3,Yes,Yes,41
Kochi,Clear,March,23.8,Yes,No,54
Chennai,Clear,February,23.5,No,No,46
Chennai,Clear,March,24.4,Yes,No,52
Tirupati,Storm,August,22.9,Yes,No,53
Mathura & Vrindavan,Rain,February,10.2,No,No,49
Bengaluru,Clear,December,13.8,Yes,Yes,62
Delhi,Clouds,May,31.4,No,Yes,51
Goa,Fog,May,22.7,No,Yes,61
Delhi,Rain,June,26.9,No,Yes,49
Vijayawada,Clouds,September,30.8,No,No,55
Alleppey,Clouds,September,25.1,No,No,45
Darjeeling,Clouds,May,25.8,No,Yes,58
Udaipur,Clear,November,22.5,Yes,Yes,64
Munnar,Rain,January,3.9,Yes,Yes,48
Varanasi,Clear,August,24.8,Yes,No,35
Manali,Snow,June,10.1,No,Yes,28
Somnath,Clouds,April,28.5,No,No,36
Rameswaram,Clouds,October,16.6,Yes,Yes,58
Ooty,Clouds,December,11.6,Yes,Yes,45
Madurai,Clouds,February,9.4,No,No,44
Kochi,Rain,April,19.9,No,No,37
Jodhpur,Storm,April,34.5,No,No,23
Srinagar,Fog,September,13.8,No,No,50
Mysuru,Clear,September,31.5,No,No,59
Mysuru,Clouds,October,25,Yes,Yes,77
Jaipur,Rain,April,34.3,No,No,36
Kolkata,Clear,February,22.3,No,No,58
Manali,Clear,July,23.4,No,Yes,32
Vaishno Devi (Katra),Clear,September,21.8,No,No,50
Somnath,Clear,May,35.4,No,Yes,27
Rishikesh & Haridwar,Fog,October,17.1,Yes,Yes,58
Somnath,Fog,June,31.3,No,Yes,24
Amritsar,Rain,September,20.5,No,No,50
Shimla,Clear,January,16.3,Yes,Yes,38
Jodhpur,Clear,May,25.9,No,Yes,31
Visakhapatnam,Rain,September,20.4,No,No,54
Munnar,Clouds,February,10.7,No,No,46
Visakhapatnam,Clouds,October,29.9,Yes,Yes,69
Kodaikanal,Rain,May,18.8,No,Yes,58
Vijayawada,Clear,October,27.4,Yes,Yes,73
Munnar,Clouds,March,15,Yes,No,60
Hampi,Clear,December,18.8,Yes,Yes,77
Vijayawada,Clear,November,15.3,Yes,Yes,72
Vaishno Devi (Katra),Fog,October,23.2,Yes,Yes,64
Varanasi,Clear,September,28.4,No,No,35
Kolkata,Storm,March,16.8,Yes,No,62
Nashik,Clear,November,27.2,Yes,Yes,51
Goa,Fog,June,23.8,No,Yes,49
Nashik,Clear,December,17.6,Yes,Yes,51
Shirdi,Heavy Rain,June,32.3,No,Yes,41
Kochi,Heavy Rain,May,34.5,No,Yes,34
Tirupati,Rain,September,21.6,No,No,53
Lucknow,Fog,May,37.1,No,Yes,31
Aurangabad,Clouds,November,19.7,Yes,Yes,49
Jodhpur,Clear,June,27.8,No,Yes,20
Nainital,Clear,April,12.3,No,No,39
Alleppey,Rain,October,21.3,Yes,Yes,66
Mysuru,Clear,November,20.8,Yes,Yes,79
Srinagar,Clouds,October,7.7,Yes,Yes,63
Vijayawada,Clouds,December,20.3,Yes,Yes,76
Dwarka,Clear,July,32.9,No,Yes,47
Mysuru,Rain,December,21,Yes,Yes,79
Munnar,Clouds,April,20.5,No,No,59
Kodaikanal,Clear,June,19.9,No,Yes,44
Jaisalmer,Storm,January,12.4,Yes,Yes,67
Mysuru,Clear,January,24.9,Yes,Yes,76
Alleppey,Rain,November,22.4,Yes,Yes,67
Lucknow,Rain,June,27.2,No,Yes,35
Darjeeling,Clouds,June,21.6,No,Yes,43
Mumbai,Heavy Rain,August,29,Yes,No,29
Visakhapatnam,Clear,November,13.6,Yes,Yes,69
Coorg,Fog,January,18.5,Yes,Yes,76
Madurai,Clear,March,24.7,Yes,No,57
Mathura & Vrindavan,Clear,March,28.7,Yes,No,62
Agra,Clouds,October,25.2,Yes,Yes,65
Madurai,Clear,April,36.3,No,No,34
Lucknow,Clear,July,28.9,No,Yes,37
Varanasi,Clouds,October,25.4,Yes,Yes,54
Madurai,Clear,May,39.8,No,Yes,33
Srinagar,Rain,November,10.7,Yes,Yes,62
Pushkar,Clear,January,25.4,Yes,Yes,72
Jaipur,Clear,May,28.7,No,Yes,43
Srinagar,Clear,December,5.5,Yes,Yes,53
Rishikesh & Haridwar,Clear,November,18.4,Yes,Yes,61
Nainital,Clouds,May,20.6,No,Yes,46
Delhi,Storm,July,32.2,No,Yes,47
Jodhpur,Clear,July,22.3,No,Yes,20
Mathura & Vrindavan,Clear,April,29.2,No,No,46
Kochi,Clouds,June,30.9,No,Yes,33
Ooty,Clouds,January,-5.2,Yes,Yes,43
Kochi,Clear,July,27.2,No,Yes,37
Rameswaram,Rain,November,22.8,Yes,Yes,60
Jaipur,Clear,June,36.7,No,Yes,32
Udaipur,Clear,December,18.3,Yes,Yes,65
Srinagar,Snow,January,-4.4,Yes,Yes,48
Nashik,Clear,January,16.1,Yes,Yes,46
Alleppey,Fog,December,4.8,Yes,Yes,60
Varanasi,Fog,November,23,Yes,Yes,54
Pushkar,Clear,February,23.6,No,No,62
Alleppey,Clear,January,13.6,Yes,Yes,65
Lucknow,Clear,August,23,Yes,No,43
Nainital,Clear,June,26.6,No,Yes,32
Kochi,Clouds,August,24,Yes,No,42
Chennai,Heavy Rain,April,33.3,No,No,32
Kodaikanal,Clouds,July,9.8,No,Yes,35
Jodhpur,Clear,August,28.8,Yes,No,25
Mumbai,Clear,September,21,No,No,31
Udaipur,Clear,January,21.2,Yes,Yes,61
Vijayawada,Rain,January,21.4,Yes,Yes,70
Statue of Unity (Kevadia),Rain,June,22,No,Yes,43
Kolkata,Clear,April,25.4,No,No,49
Aurangabad,Fog,December,14.4,Yes,Yes,46
Ooty,Clear,February,8.3,No,No,45
Kanyakumari,Rain,December,7.3,Yes,Yes,65
Pushkar,Storm,March,29.9,Yes,No,67
Ahmedabad,Rain,December,17.5,Yes,Yes,57
Pune,Clear,April,37.9,No,No,39
Aurangabad,Clear,January,10.6,Yes,Yes,41
Somnath,Clear,July,31.4,No,Yes,25
Nashik,Clouds,February,25.3,No,No,38
Munnar,Rain,May,25.4,No,Yes,62
Lucknow,Rain,September,25.4,No,No,42
Vijayawada,Clouds,February,25.4,No,No,62
Vijayawada,Rain,March,30.9,Yes,No,65
Jodhpur,Storm,September,30.8,No,No,25
Pushkar,Clear,April,25,No,No,53
Kanyakumari,Clouds,January,7.1,Yes,Yes,64
Shimla,Rain,February,0.9,No,No,21
Kochi,Clear,September,22.4,No,No,43
Jaisalmer,Clear,February,15.5,No,No,60
Mysuru,Clouds,February,22.6,No,No,66
Munnar,Clear,June,25.1,No,Yes,48
Rameswaram,Heavy Rain,December,11.6,Yes,Yes,53
Alleppey,Clear,February,21.9,No,No,59
Visakhapatnam,Clear,December,15.3,Yes,Yes,71
Rishikesh & Haridwar,Clear,December,21.3,Yes,Yes,64
Rameswaram,Clear,January,22.6,Yes,Yes,57
Ooty,Rain,March,13.1,Yes,No,58
Somnath,Clear,August,24.5,Yes,No,35
Varanasi,Clouds,December,16.6,Yes,Yes,50
Mysuru,Clouds,March,19.1,Yes,No,72
Mysuru,Clouds,April,26,No,No,57
Mathura & Vrindavan,Clouds,May,34.3,No,Yes,43
Visakhapatnam,Clouds,January,16,Yes,Yes,67
Kochi,Clouds,October,16.2,Yes,Yes,56
Srinagar,Rain,February,1.2,No,No,45
Darjeeling,Clear,July,19.6,No,Yes,40
Statue of Unity (Kevadia),Clear,July,22.2,No,Yes,46
Chennai,Clouds,May,37.1,No,Yes,30
Kochi,Clouds,November,12.9,Yes,Yes,55
Mysuru,Clear,May,36.7,No,Yes,51
Thiruvananthapuram,Clouds,November,19.8,Yes,Yes,48
Statue of Unity (Kevadia),Clear,August,24.5,Yes,No,51
Ooty,Rain,April,10.6,No,No,53
Jaipur,Clouds,July,22.5,No,Yes,41
Ooty,Rain,May,16.8,No,Yes,59
Visakhapatnam,Rain,February,12.9,No,No,55
Mysuru,Clear,June,28.6,No,Yes,54
Mumbai,Clear,October,18.2,Yes,Yes,45
Visakhapatnam,Heavy Rain,March,21.7,Yes,No,66
Dwarka,Clouds,August,21.1,Yes,No,57
Mumbai,Heavy Rain,November,18.2,Yes,Yes,46
Darjeeling,Clouds,August,22.4,Yes,No,39
Lucknow,Clear,October,22.5,Yes,Yes,59
Rishikesh & Haridwar,Rain,January,21.4,Yes,Yes,58
Kanyakumari,Rain,February,20.8,No,No,62
Nainital,Clouds,July,15,No,Yes,25
Munnar,Rain,July,17.2,No,Yes,42
Nainital,Clear,August,22.4,Yes,No,33
Thiruvananthapuram,Clear,December,12.1,Yes,Yes,45
Delhi,Clear,August,27.2,Yes,No,57
Alleppey,Heavy Rain,March,32.8,Yes,No,61
Kodaikanal,Rain,August,13.5,Yes,No,41
Nashik,Rain,March,18.2,Yes,No,43
Kodaikanal,Clear,September,18.3,No,No,45
Varanasi,Clear,January,24.4,Yes,Yes,51
Bengaluru,Clear,January,18.7,Yes,Yes,61
Ayodhya,Clouds,January,23.8,Yes,Yes,65
Visakhapatnam,Clear,April,22.7,No,No,51
Jaisalmer,Clear,March,18.9,Yes,No,65
Delhi,Rain,September,25.3,No,No,56
Ooty,Clear,June,21,No,Yes,47
Agra,Clear,November,15.1,Yes,Yes,64
Visakhapatnam,Clear,May,30.7,No,Yes,50
Darjeeling,Clear,September,18.1,No,No,43
Vaishno Devi (Katra),Clear,November,25.8,Yes,Yes,67
Rameswaram,Rain,February,11.7,No,No,41
Jaisalmer,Clear,April,27.3,No,No,55
Manali,Clouds,August,18.9,Yes,No,35
Visakhapatnam,Clear,June,27.4,No,Yes,48
Lucknow,Clouds,November,16.6,Yes,Yes,58
Mysuru,Rain,July,29.2,No,Yes,54
Jaipur,Clear,August,32.2,Yes,No,43
Alleppey,Rain,April,34.4,No,No,49
Visakhapatnam,Heavy Rain,July,29.3,No,Yes,48
Dharamshala,Snow,September,16.3,No,No,37
Jaipur,Rain,September,23.2,No,No,46
Udaipur,Fog,February,20.5,No,No,51
Tirupati,Clear,October,18.6,Yes,Yes,72
Tirupati,Clear,November,17,Yes,Yes,72
