Destination,Temperature_C,Condition,Wind_Speed_kmph,Safety
Dharamshala,11.1,Clear,10.1,Safe
Kodaikanal,18.9,Clear,30.5,Safe
Kochi,21.1,Cloudy,19.3,Safe
Hampi,17.1,Cloudy,17.4,Safe
Srinagar,-1.6,Rain,34.2,Moderate
Jaipur,23.6,Clear,44.3,Safe
Statue of Unity (Kevadia),35.1,Clear,14.8,Safe
Chennai,31.9,Rain,46.7,Moderate
Mysuru,33.3,Clear,39.9,Safe
Kolkata,18.3,Clear,25.2,Safe
Mumbai,22.4,Clear,55.6,Moderate
Tirupati,29.4,Rain,26.9,Safe
Pune,27.2,Clear,39.2,Safe
Statue of Unity (Kevadia),34.8,Clear,26.5,Safe
Rameswaram,29.0,Rain,47.8,Moderate
Jaisalmer,40.7,Clear,29.6,Safe
Ooty,14.5,Cloudy,23.3,Safe
Visakhapatnam,27.8,Rain,37.9,Moderate
Lucknow,19.8,Storm,26.2,Moderate
Kodaikanal,19.5,Clear,30.2,Safe
Jaisalmer,25.2,Clear,33.7,Safe
Dwarka,13.4,Clear,29.2,Safe
Vijayawada,17.9,Clear,31.2,Safe
Darjeeling,10.1,Clear,7.1,Safe
Vaishno Devi (Katra),-1.0,Snow,10.3,Moderate
Nainital,1.7,Clear,36.7,Safe
Darjeeling,9.1,Rain,8.8,Moderate
Tirupati,26.7,Cloudy,14.1,Safe
Somnath,32.4,Fog,10.3,Safe
Lucknow,21.1,Clear,43.0,Safe
Darjeeling,9.9,Clear,32.9,Safe
Kolkata,21.0,Clear,31.8,Safe
Jaisalmer,38.8,Clear,33.2,Safe
Darjeeling,5.9,Clear,19.3,Safe
Mysuru,38.1,Rain,10.4,Safe
Kodaikanal,23.1,Rain,15.3,Safe
Coorg,19.3,Cloudy,25.3,Safe
Kolkata,36.1,Rain,23.9,Safe
Ahmedabad,31.9,Clear,15.6,Safe
Dwarka,10.8,Clear,27.6,Safe
Mysuru,28.3,Clear,26.0,Safe
Mathura & Vrindavan,17.1,Clear,16.4,Safe
Shirdi,10.2,Clear,11.9,Safe
Mathura & Vrindavan,17.5,Cloudy,40.0,Safe
Bengaluru,21.8,Clear,28.8,Safe
Rishikesh & Haridwar,4.1,Fog,28.3,Moderate
Ajmer,14.5,Clear,34.7,Safe
Varanasi,16.8,Clear,8.2,Safe
Darjeeling,5.2,Fog,40.5,Moderate
Kanyakumari,32.2,Clear,8.5,Safe
Prayagraj,35.7,Clear,32.7,Safe
Goa,31.5,Cloudy,46.9,Safe
Lucknow,23.5,Clear,18.6,Safe
Goa,28.3,Cloudy,52.3,Moderate
Mysuru,39.6,Rain,7.6,Safe
Nashik,35.6,Rain,19.5,Safe
Shimla,7.4,Fog,26.9,Moderate
Ahmedabad,15.6,Clear,31.5,Safe
Jaipur,18.7,Clear,28.4,Safe
Manali,8.6,Clear,15.5,Safe
Shimla,-4.2,Rain,23.3,Moderate
Srinagar,4.1,Clear,37.3,Safe
Ahmedabad,39.3,Heavy Rain,25.5,Safe
Mathura & Vrindavan,39.2,Clear,24.9,Safe
Rameswaram,28.0,Clear,40.8,Safe
Hampi,14.4,Cloudy,24.8,Safe
Thiruvananthapuram,27.3,Rain,39.5,Moderate
Dharamshala,14.0,Clear,21.1,Safe
Jaipur,37.6,Clear,17.1,Safe
Manali,-3.8,Clear,17.9,Safe
Ayodhya,21.9,Cloudy,15.0,Safe
Jodhpur,22.5,Clear,29.4,Safe
Ajmer,39.1,Rain,8.5,Safe
Mumbai,20.9,Heavy Rain,17.8,Moderate
Tirupati,28.1,Rain,43.6,Moderate
Kodaikanal,14.5,Cloudy,10.0,Safe
Mumbai,20.1,Fog,7.2,Safe
Statue of Unity (Kevadia),37.0,Cloudy,29.7,Safe
Coorg,17.2,Clear,28.1,Safe
Goa,31.6,Clear,35.1,Safe
Mathura & Vrindavan,33.7,Rain,31.8,Moderate
Nashik,26.8,Clear,29.7,Safe
Ahmedabad,18.9,Clear,27.3,Safe
Pushkar,22.7,Clear,10.4,Safe
Pune,35.2,Cloudy,16.5,Safe
Delhi,12.2,Clear,23.5,Safe
Ahmedabad,37.4,Clear,19.5,Safe
Ajmer,34.6,Clear,10.8,Safe
Alleppey,33.9,Clear,54.1,Moderate
Ajmer,37.4,Clear,22.1,Safe
Kodaikanal,13.4,Rain,28.4,Safe
Vijayawada,26.2,Rain,22.7,Safe
Hampi,16.0,Cloudy,25.5,Safe
Nainital,8.2,Cloudy,33.9,Safe
Munnar,32.0,Heavy Rain,9.8,Moderate
Agra,31.2,Clear,21.3,Safe
Ajmer,21.9,Clear,35.1,Safe
Hampi,24.3,Clear,24.0,Safe
Chennai,32.8,Cloudy,15.6,Safe
Chennai,32.2,Rain,36.8,Moderate
Mumbai,33.4,Cloudy,9.4,Safe
Manali,11.9,Clear,6.7,Safe
Ooty,8.3,Rain,28.0,Safe
Rishikesh & Haridwar,3.9,Rain,20.4,Moderate
Shimla,8.5,Rain,8.4,Moderate
Manali,13.3,Fog,36.5,Moderate
Srinagar,4.1,Clear,34.8,Safe
Lucknow,22.4,Clear,24.6,Safe
Pune,33.0,Clear,15.0,Safe
Jodhpur,36.9,Clear,27.6,Safe
Aurangabad,36.3,Cloudy,35.5,Safe
Chennai,24.9,Clear,19.3,Safe
Bengaluru,16.2,Clear,26.7,Safe
Ajmer,25.3,Rain,10.7,Safe
Srinagar,1.8,Clear,43.4,Safe
Munnar,29.2,Rain,31.3,Moderate
Mumbai,28.1,Rain,48.3,Moderate
Shimla,14.2,Clear,33.5,Safe
Rishikesh & Haridwar,6.0,Fog,40.8,Moderate
Madurai,20.0,Rain,39.4,Moderate
Ayodhya,14.2,Rain,6.1,Safe
Munnar,34.4,Fog,40.9,Moderate
Varanasi,39.9,Cloudy,43.8,Safe
Ajmer,17.4,Clear,24.9,Safe
Kodaikanal,13.3,Rain,25.3,Safe
Madurai,12.8,Cloudy,18.0,Safe
Vijayawada,26.6,Clear,11.2,Safe
Statue of Unity (Kevadia),11.1,Cloudy,5.3,Safe
Kochi,29.6,Clear,16.6,Safe
Udaipur,26.3,Fog,9.8,Safe
Madurai,19.4,Clear,13.3,Safe
Statue of Unity (Kevadia),19.9,Clear,34.3,Safe
Ajmer,21.3,Clear,43.6,Safe
Prayagraj,18.7,Clear,33.3,Safe
Rameswaram,34.8,Cloudy,12.3,Safe
Shirdi,19.5,Clear,40.7,Safe
Manali,11.3,Cloudy,9.6,Safe
Mathura & Vrindavan,33.2,Clear,35.2,Safe
Agra,16.3,Clear,35.4,Safe
Ayodhya,24.5,Rain,32.4,Moderate
Shirdi,29.8,Clear,43.2,Safe
Nashik,10.9,Clear,5.4,Safe
Udaipur,23.5,Clear,25.2,Safe
Chennai,34.7,Clear,59.4,Moderate
Aurangabad,15.4,Clear,33.1,Safe
Coorg,8.2,Clear,8.1,Safe
Statue of Unity (Kevadia),27.3,Cloudy,9.0,Safe
Kodaikanal,19.2,Clear,15.4,Safe
Manali,-1.3,Heavy Snow,11.0,Moderate
Ahmedabad,13.7,Clear,5.4,Safe
Darjeeling,-3.3,Clear,39.5,Moderate
Mysuru,31.4,Clear,39.1,Safe
Mumbai,30.2,Cloudy,21.1,Safe
Delhi,20.3,Rain,11.6,Safe
Ayodhya,16.0,Cloudy,25.0,Safe
Kolkata,15.4,Rain,5.4,Safe
Manali,0.3,Cloudy,36.7,Safe
Nashik,29.1,Clear,43.7,Safe
Vijayawada,12.1,Clear,12.7,Safe
Jodhpur,20.5,Clear,34.9,Safe
Coorg,23.9,Clear,25.5,Safe
Vaishno Devi (Katra),-3.9,Snow,30.2,Unsafe
Statue of Unity (Kevadia),19.6,Clear,32.9,Safe
Bengaluru,16.7,Heavy Rain,5.9,Safe
Dharamshala,5.8,Clear,30.6,Safe
Jaipur,21.4,Rain,9.4,Safe
Manali,0.7,Cloudy,34.4,Safe
Kodaikanal,17.5,Clear,7.7,Safe
Vijayawada,28.9,Cloudy,39.0,Safe
Lucknow,22.2,Clear,42.9,Safe
Ooty,12.6,Cloudy,24.4,Safe
Somnath,12.4,Cloudy,42.9,Safe
Amritsar,22.9,Cloudy,32.6,Safe
Munnar,31.1,Cloudy,29.6,Safe
Jodhpur,32.1,Clear,26.3,Safe
Hampi,11.0,Rain,7.1,Safe
Kodaikanal,24.4,Rain,18.6,Safe
Chennai,32.4,Cloudy,9.8,Safe
Visakhapatnam,23.9,Cloudy,10.9,Safe
Pushkar,37.7,Clear,15.6,Safe
Kodaikanal,16.5,Cloudy,6.5,Safe
Lucknow,30.1,Rain,42.8,Moderate
Chennai,29.7,Cloudy,59.6,Moderate
Rameswaram,30.7,Rain,9.2,Safe
Munnar,29.9,Cloudy,27.8,Safe
Kodaikanal,8.8,Rain,24.9,Safe
Coorg,23.1,Clear,32.8,Safe
Goa,32.5,Clear,22.2,Safe
Amritsar,23.0,Clear,29.0,Safe
Nainital,0.2,Fog,37.6,Moderate
Manali,8.7,Cloudy,9.9,Safe
Bengaluru,17.2,Clear,43.8,Safe
Somnath,20.1,Clear,18.4,Safe
Udaipur,12.1,Fog,39.6,Moderate
Bengaluru,34.5,Clear,39.7,Safe
Dharamshala,7.7,Rain,39.0,Moderate
Ooty,18.0,Cloudy,30.2,Safe
Mumbai,21.3,Cloudy,15.7,Safe
Vaishno Devi (Katra),5.2,Rain,30.9,Moderate
Hampi,15.2,Clear,22.9,Safe
Hampi,20.1,Rain,21.0,Safe
Vijayawada,30.4,Clear,17.9,Safe
Rameswaram,22.0,Heavy Rain,58.0,Unsafe
Pushkar,36.1,Clear,14.4,Safe
Kanyakumari,33.8,Rain,51.6,Moderate
Goa,30.9,Rain,52.8,Moderate
Srinagar,12.8,Clear,38.6,Safe
Mysuru,26.1,Clear,32.4,Safe
Goa,20.6,Storm,28.1,Moderate
Bengaluru,22.5,Clear,33.3,Safe
Jaipur,10.5,Rain,30.9,Moderate
Pune,12.3,Rain,35.3,Moderate
Nainital,11.5,Clear,27.9,Safe
Hampi,14.2,Rain,22.0,Safe
Agra,29.5,Rain,31.1,Moderate
Bengaluru,27.1,Clear,21.0,Safe
Manali,11.8,Cloudy,34.7,Safe
Vijayawada,19.7,Clear,16.0,Safe
Rishikesh & Haridwar,-0.9,Heavy Snow,15.0,Moderate
Prayagraj,11.5,Fog,24.1,Safe
Alleppey,23.2,Rain,35.0,Moderate
Kochi,24.9,Clear,36.3,Safe
Chennai,27.0,Heavy Rain,55.3,Unsafe
Udaipur,12.3,Rain,32.1,Moderate
Shirdi,25.7,Clear,6.9,Safe
Shirdi,29.8,Clear,12.3,Safe
Kodaikanal,16.3,Rain,7.6,Safe
Hampi,13.8,Clear,9.4,Safe
Ahmedabad,20.0,Clear,15.6,Safe
Jaipur,39.3,Clear,8.0,Safe
Chennai,34.4,Storm,53.2,Unsafe
Darjeeling,14.6,Cloudy,20.3,Safe
Kochi,28.0,Cloudy,52.2,Moderate
Ayodhya,27.5,Clear,30.2,Safe
Pune,33.0,Rain,13.1,Safe
Rishikesh & Haridwar,0.5,Clear,7.0,Safe
Kodaikanal,24.4,Clear,20.7,Safe
Rameswaram,32.7,Clear,9.7,Safe
Ahmedabad,13.7,Clear,18.1,Safe
Hampi,14.5,Clear,29.4,Safe
Jodhpur,24.6,Clear,11.4,Safe
Rameswaram,25.5,Heavy Rain,7.3,Moderate
Dwarka,29.8,Cloudy,42.1,Safe
Coorg,24.7,Rain,14.7,Safe
Prayagraj,26.1,Rain,12.4,Safe
Prayagraj,23.8,Clear,15.2,Safe
Kodaikanal,11.9,Rain,8.9,Safe
Shirdi,31.9,Rain,43.3,Moderate
Mysuru,24.3,Cloudy,29.2,Safe
Tirupati,30.3,Fog,36.8,Moderate
Kanyakumari,34.5,Clear,36.1,Safe
Shimla,-3.4,Cloudy,5.2,Safe
Mysuru,24.7,Clear,23.3,Safe
Lucknow,24.7,Fog,7.9,Safe
Nainital,2.8,Fog,9.3,Moderate
Pune,11.3,Clear,36.7,Safe
Darjeeling,-3.7,Clear,38.1,Moderate
Udaipur,32.1,Clear,40.2,Safe
Delhi,13.4,Clear,22.1,Safe
Tirupati,14.6,Clear,7.0,Safe
Prayagraj,37.4,Clear,9.7,Safe
Bengaluru,17.5,Cloudy,12.2,Safe
Hampi,15.2,Rain,28.9,Safe
Amritsar,32.2,Storm,27.9,Moderate
Hampi,24.7,Rain,28.4,Safe
Dharamshala,0.1,Cloudy,19.3,Safe
Varanasi,20.1,Cloudy,14.2,Safe
Statue of Unity (Kevadia),18.6,Fog,18.0,Safe
Goa,30.3,Clear,17.0,Safe
Rishikesh & Haridwar,11.1,Fog,17.1,Moderate
Jaipur,10.9,Rain,31.9,Moderate
Jaisalmer,38.5,Clear,61.3,Moderate
Nashik,16.4,Clear,34.9,Safe
Ooty,22.2,Clear,32.3,Safe
Ooty,24.1,Clear,31.7,Safe
Ayodhya,28.2,Clear,33.7,Safe
Ooty,20.7,Fog,31.9,Moderate
Coorg,11.4,Clear,25.8,Safe
Dharamshala,11.1,Fog,35.9,Moderate
Varanasi,13.3,Cloudy,36.7,Safe
Madurai,38.8,Cloudy,35.1,Safe
Vaishno Devi (Katra),9.6,Rain,14.4,Moderate
Amritsar,21.4,Cloudy,40.6,Safe
Alleppey,23.4,Clear,41.3,Safe
Vijayawada,15.0,Rain,18.5,Safe
Jaipur,11.9,Cloudy,35.1,Safe
Mathura & Vrindavan,20.9,Clear,12.2,Safe
Jaipur,38.9,Cloudy,21.7,Safe
Kanyakumari,23.0,Rain,21.7,Safe
Manali,-2.2,Cloudy,30.3,Moderate
Dharamshala,-2.6,Cloudy,7.9,Safe
Nainital,-4.5,Cloudy,23.4,Safe
Rishikesh & Haridwar,-0.4,Cloudy,15.7,Safe
Shirdi,25.5,Rain,33.3,Moderate
Nainital,8.0,Clear,14.2,Safe
Tirupati,23.4,Fog,29.5,Safe
Kanyakumari,25.7,Clear,56.2,Moderate
Darjeeling,-3.0,Clear,23.7,Safe
Dwarka,12.6,Cloudy,30.1,Safe
Pushkar,29.3,Clear,12.4,Safe
Ayodhya,13.4,Rain,25.0,Safe
Dwarka,35.8,Rain,35.8,Moderate
Agra,12.3,Rain,30.1,Moderate
Bengaluru,23.3,Clear,6.8,Safe
Jaisalmer,40.2,Clear,9.0,Safe
Lucknow,38.2,Clear,14.4,Safe
Kolkata,36.5,Rain,43.2,Moderate
Bengaluru,17.0,Rain,8.7,Safe
Coorg,9.5,Cloudy,33.8,Safe
Nashik,13.6,Clear,35.1,Safe
Mumbai,24.6,Rain,52.2,Moderate
Coorg,14.5,Clear,25.9,Safe
Aurangabad,14.8,Clear,15.3,Safe
Rishikesh & Haridwar,4.5,Clear,9.8,Safe
Kodaikanal,9.6,Rain,10.5,Safe
Jaipur,34.3,Rain,42.6,Moderate
Varanasi,36.3,Fog,8.4,Safe
Aurangabad,12.5,Clear,25.7,Safe
Bengaluru,19.7,Clear,35.6,Safe
Srinagar,6.7,Rain,21.3,Moderate
Visakhapatnam,34.5,Rain,47.3,Moderate
Hampi,17.8,Rain,12.1,Safe
Delhi,37.0,Clear,8.4,Safe
Mathura & Vrindavan,18.2,Clear,25.3,Safe
Manali,6.6,Clear,40.9,Safe
Vijayawada,31.0,Clear,39.2,Safe
Mysuru,21.4,Clear,22.1,Safe
Rameswaram,29.2,Clear,12.4,Safe
Tirupati,36.6,Clear,8.0,Safe
Aurangabad,27.9,Rain,6.8,Safe
Udaipur,34.9,Clear,11.7,Safe
Jodhpur,26.1,Clear,36.7,Safe
Nashik,11.1,Clear,34.0,Safe
Prayagraj,13.6,Storm,29.4,Moderate
Nainital,-1.8,Cloudy,7.7,Safe
Hampi,13.5,Rain,28.8,Safe
Kodaikanal,10.7,Cloudy,22.7,Safe
Shimla,1.0,Rain,29.9,Moderate
Chennai,31.5,Rain,58.8,Moderate
Ajmer,10.4,Fog,43.3,Moderate
Hampi,9.5,Cloudy,6.4,Safe
Coorg,8.7,Rain,13.6,Safe
Kochi,27.9,Clear,16.1,Safe
Visakhapatnam,23.5,Heavy Rain,44.6,Unsafe
Shirdi,10.6,Clear,12.7,Safe
Mumbai,24.6,Cloudy,51.2,Moderate
Jaipur,25.2,Rain,39.3,Moderate
Munnar,22.3,Rain,16.3,Safe
Visakhapatnam,25.6,Rain,19.0,Safe
Dwarka,20.8,Clear,26.9,Safe
Agra,16.7,Rain,23.4,Safe
Ahmedabad,11.2,Cloudy,7.8,Safe
Prayagraj,21.5,Fog,25.3,Safe
Visakhapatnam,30.0,Rain,47.0,Moderate
Coorg,19.2,Clear,10.8,Safe
Kodaikanal,15.0,Fog,30.1,Moderate
Delhi,13.9,Cloudy,44.1,Safe
Varanasi,16.4,Clear,42.4,Safe
Visakhapatnam,25.6,Storm,33.4,Unsafe
Chennai,32.5,Cloudy,41.0,Safe
Ajmer,10.9,Clear,8.2,Safe
Hampi,14.0,Cloudy,10.1,Safe
Pune,24.9,Rain,36.5,Moderate
Munnar,29.1,Rain,22.4,Safe
Lucknow,26.1,Clear,31.9,Safe
Dharamshala,-0.9,Clear,43.5,Safe
Chennai,27.2,Heavy Rain,23.3,Moderate
Munnar,34.6,Rain,34.2,Moderate
Dwarka,18.7,Fog,25.0,Safe
Pune,25.4,Rain,12.3,Safe
Amritsar,21.1,Rain,34.9,Moderate
Shimla,10.6,Clear,21.5,Safe
Prayagraj,13.0,Cloudy,39.9,Safe
Coorg,21.2,Clear,7.9,Safe
Nashik,23.4,Clear,26.1,Safe
Udaipur,33.5,Clear,21.2,Safe
Shirdi,30.0,Clear,13.0,Safe
Aurangabad,21.7,Rain,14.4,Safe
Statue of Unity (Kevadia),29.7,Clear,34.6,Safe
Manali,-3.4,Rain,5.5,Moderate
Pune,20.1,Clear,18.0,Safe
Madurai,30.4,Rain,8.4,Safe
Srinagar,7.4,Rain,5.7,Moderate
Lucknow,35.4,Clear,31.5,Safe
Udaipur,16.6,Clear,29.0,Safe
Jaisalmer,26.4,Clear,29.3,Safe
Kochi,32.7,Clear,17.0,Safe
Rishikesh & Haridwar,7.1,Fog,34.9,Moderate
Ooty,21.7,Clear,34.0,Safe
Shirdi,28.3,Rain,42.9,Moderate
Mysuru,22.4,Clear,27.4,Safe
Thiruvananthapuram,33.1,Rain,33.8,Moderate
Manali,4.7,Clear,15.9,Safe
Shimla,-0.8,Clear,42.9,Safe
Rishikesh & Haridwar,3.7,Clear,7.7,Safe
Somnath,10.5,Rain,43.0,Moderate
Vijayawada,11.8,Cloudy,33.1,Safe
Mathura & Vrindavan,39.4,Fog,8.0,Safe
Dharamshala,-4.6,Rain,30.4,Unsafe
Statue of Unity (Kevadia),36.7,Rain,7.4,Safe
Udaipur,29.2,Rain,40.9,Moderate
Ahmedabad,18.3,Cloudy,40.3,Safe
Ajmer,20.7,Cloudy,9.7,Safe
Dharamshala,-4.1,Snow,32.3,Unsafe
Jodhpur,43.2,Cloudy,13.5,Safe
Manali,9.9,Clear,27.3,Safe
Thiruvananthapuram,34.2,Rain,57.2,Moderate
Pune,16.4,Cloudy,33.3,Safe
Ooty,13.8,Cloudy,34.1,Safe
Shirdi,36.8,Clear,7.5,Safe
Srinagar,13.9,Cloudy,30.0,Safe
Manali,13.5,Rain,43.9,Moderate
Delhi,36.4,Clear,38.5,Safe
Dharamshala,10.0,Clear,44.4,Safe
Chennai,24.8,Rain,42.0,Moderate
Alleppey,22.5,Rain,39.0,Moderate
Jodhpur,32.2,Clear,25.6,Safe
Ahmedabad,29.4,Fog,13.8,Safe
Manali,7.9,Clear,18.1,Safe
Ahmedabad,37.0,Cloudy,20.4,Safe
Ooty,19.2,Clear,21.3,Safe
Ayodhya,36.5,Rain,35.6,Moderate
Nashik,18.4,Clear,29.4,Safe
Tirupati,35.4,Rain,25.9,Safe
Pune,19.0,Rain,32.5,Moderate
Jodhpur,39.4,Clear,10.0,Safe
Aurangabad,28.2,Rain,31.5,Moderate
Bengaluru,21.0,Cloudy,7.8,Safe
Hampi,17.8,Cloudy,22.8,Safe
Prayagraj,29.0,Clear,8.6,Safe
Kodaikanal,17.5,Rain,6.6,Safe
Somnath,30.3,Heavy Rain,42.5,Moderate
Prayagraj,25.2,Rain,16.3,Safe
Nashik,15.7,Clear,40.9,Safe
Kodaikanal,22.0,Clear,13.7,Safe
Varanasi,23.5,Clear,16.1,Safe
Udaipur,16.4,Clear,11.9,Safe
Jaisalmer,41.2,Clear,9.5,Safe
Jaisalmer,23.1,Clear,12.2,Safe
Delhi,12.8,Clear,30.7,Safe
Delhi,26.6,Fog,13.2,Safe
Ajmer,12.7,Clear,35.9,Safe
Pushkar,43.3,Clear,33.9,Moderate
Shirdi,35.0,Clear,5.3,Safe
Vaishno Devi (Katra),12.9,Cloudy,38.1,Safe
Dwarka,20.8,Rain,12.8,Safe
Tirupati,39.4,Clear,31.8,Safe
Agra,35.8,Heavy Rain,13.4,Moderate
Jodhpur,37.2,Clear,27.8,Safe
Prayagraj,33.3,Clear,34.8,Safe
Ayodhya,21.6,Cloudy,15.5,Safe
Shirdi,34.3,Cloudy,22.4,Safe
Vaishno Devi (Katra),3.1,Fog,31.9,Moderate
Jaipur,17.2,Clear,7.2,Safe
Rameswaram,32.9,Clear,10.5,Safe
Somnath,11.6,Rain,32.8,Moderate
Kanyakumari,33.5,Clear,49.2,Safe
Aurangabad,23.1,Cloudy,6.5,Safe
Munnar,24.7,Cloudy,54.7,Moderate
Mysuru,28.4,Clear,25.7,Safe
Pushkar,37.3,Cloudy,18.9,Safe
Bengaluru,30.0,Heavy Rain,11.7,Safe
Rameswaram,26.2,Cloudy,39.8,Safe
Lucknow,31.1,Heavy Rain,31.0,Moderate
Agra,16.0,Clear,14.8,Safe
Prayagraj,17.1,Cloudy,28.0,Safe
Bengaluru,13.9,Clear,27.4,Safe
Ooty,9.3,Clear,16.3,Safe
Lucknow,33.3,Cloudy,8.4,Safe
Kanyakumari,32.1,Clear,5.7,Safe
Rishikesh & Haridwar,11.1,Rain,13.1,Moderate
Srinagar,-0.5,Heavy Snow,38.5,Unsafe
Madurai,21.8,Clear,27.6,Safe
Hampi,13.5,Clear,13.3,Safe
Coorg,16.5,Rain,23.8,Safe
Udaipur,38.2,Cloudy,25.1,Safe
Pune,27.6,Storm,20.1,Safe
Aurangabad,31.2,Clear,44.8,Safe
Rameswaram,26.8,Cloudy,32.5,Safe
Alleppey,30.7,Cloudy,26.8,Safe
Darjeeling,-4.4,Clear,12.5,Safe
Vijayawada,23.8,Rain,5.5,Safe
Munnar,26.0,Heavy Rain,24.5,Moderate
Kochi,21.7,Heavy Rain,47.8,Unsafe
Dharamshala,13.4,Fog,40.0,Moderate
Ajmer,32.4,Rain,17.0,Safe
Bengaluru,36.7,Clear,37.0,Safe
Kodaikanal,19.2,Rain,9.0,Safe
Ajmer,33.6,Clear,19.4,Safe
Pune,20.7,Clear,31.4,Safe
Vaishno Devi (Katra),12.8,Clear,18.2,Safe
Statue of Unity (Kevadia),39.7,Clear,25.8,Safe
Agra,10.7,Rain,18.3,Safe
Goa,21.0,Cloudy,21.7,Safe
Pushkar,29.0,Storm,47.9,Moderate
Amritsar,35.0,Clear,20.1,Safe
Varanasi,34.2,Clear,8.9,Safe
Varanasi,14.7,Fog,8.2,Safe
Madurai,19.8,Clear,15.5,Safe
Lucknow,32.5,Heavy Rain,33.8,Moderate
Vaishno Devi (Katra),5.4,Rain,27.4,Moderate
Madurai,30.9,Clear,17.0,Safe
Pune,13.0,Rain,18.4,Safe
Nashik,31.0,Clear,13.2,Safe
Somnath,20.6,Rain,29.0,Safe
Darjeeling,1.3,Snow,40.3,Unsafe
Shimla,3.8,Clear,28.9,Safe
Mumbai,31.0,Rain,18.6,Safe
Hampi,16.8,Rain,14.4,Safe
Agra,25.3,Clear,28.1,Safe
Coorg,18.1,Cloudy,6.9,Safe
Nashik,31.2,Heavy Rain,22.8,Moderate
Kochi,29.0,Fog,48.8,Moderate
Kanyakumari,27.0,Clear,51.5,Moderate
Agra,32.3,Rain,19.6,Safe
Udaipur,32.5,Clear,7.7,Safe
Bengaluru,28.8,Clear,44.1,Safe
Tirupati,32.7,Cloudy,33.0,Safe
Statue of Unity (Kevadia),37.5,Storm,35.1,Moderate
Statue of Unity (Kevadia),33.2,Clear,17.7,Safe
Shimla,14.9,Cloudy,9.4,Safe
Kodaikanal,20.2,Clear,27.8,Safe
Statue of Unity (Kevadia),16.0,Heavy Rain,43.0,Moderate
Statue of Unity (Kevadia),19.0,Clear,16.7,Safe
Statue of Unity (Kevadia),21.4,Cloudy,30.5,Safe
Aurangabad,38.9,Rain,23.7,Safe
Mathura & Vrindavan,21.3,Clear,38.3,Safe
Shirdi,22.8,Clear,18.7,Safe
Rishikesh & Haridwar,6.5,Cloudy,8.6,Safe
Kanyakumari,22.0,Heavy Rain,9.1,Moderate
Thiruvananthapuram,30.8,Rain,35.5,Moderate
Aurangabad,11.0,Heavy Rain,37.9,Moderate
Amritsar,26.5,Rain,6.8,Safe
Vijayawada,21.4,Clear,43.4,Safe
Statue of Unity (Kevadia),15.3,Clear,15.5,Safe
Pune,30.3,Rain,32.4,Moderate
Bengaluru,25.8,Rain,15.2,Safe
Tirupati,19.9,Rain,11.2,Safe
Thiruvananthapuram,23.0,Clear,29.6,Safe
Udaipur,12.7,Clear,44.6,Safe
Rishikesh & Haridwar,-0.6,Snow,11.9,Moderate
Ajmer,12.2,Rain,39.8,Moderate
Munnar,22.7,Heavy Rain,11.0,Moderate
Lucknow,34.7,Fog,17.1,Safe
Alleppey,30.0,Clear,36.2,Safe
Kolkata,11.3,Rain,15.1,Safe
Shirdi,27.8,Clear,43.8,Safe
Dwarka,37.3,Cloudy,24.8,Safe
Delhi,14.5,Clear,10.9,Safe
Vijayawada,18.9,Clear,19.7,Safe
Bengaluru,29.7,Cloudy,20.5,Safe
Ooty,16.2,Clear,33.3,Safe
Shimla,-0.2,Heavy Snow,22.3,Moderate
Delhi,32.0,Fog,41.9,Moderate
Kolkata,15.1,Heavy Rain,24.6,Moderate
Vijayawada,24.8,Clear,17.5,Safe
Tirupati,21.3,Clear,27.3,Safe
Ahmedabad,32.4,Clear,40.8,Safe
Shirdi,22.5,Clear,24.8,Safe
Munnar,26.4,Cloudy,27.9,Safe
Tirupati,29.9,Fog,20.5,Safe
Alleppey,32.2,Rain,47.8,Moderate
Nainital,3.4,Rain,30.3,Moderate
Mathura & Vrindavan,14.5,Clear,9.1,Safe
Statue of Unity (Kevadia),31.4,Clear,40.9,Safe
Varanasi,34.3,Clear,37.2,Safe
Kanyakumari,26.1,Cloudy,58.1,Moderate
Mysuru,24.9,Clear,23.1,Safe
Mathura & Vrindavan,35.3,Clear,35.8,Safe
Visakhapatnam,29.7,Clear,15.3,Safe
Chennai,32.7,Clear,44.9,Safe
Mumbai,34.2,Rain,27.6,Safe
Goa,34.2,Clear,12.1,Safe
Somnath,33.5,Clear,9.7,Safe
Shirdi,38.2,Clear,32.9,Safe
Goa,29.9,Storm,32.2,Unsafe
Thiruvananthapuram,29.6,Rain,34.4,Moderate
Udaipur,32.6,Rain,41.5,Moderate
Jaipur,34.2,Cloudy,30.1,Safe
Thiruvananthapuram,23.7,Rain,46.7,Moderate
Coorg,20.2,Rain,34.3,Moderate
Manali,-4.6,Clear,35.0,Moderate
Srinagar,8.8,Clear,32.5,Safe
Jodhpur,29.6,Clear,11.8,Safe
Agra,34.9,Clear,40.3,Safe
Vijayawada,33.1,Clear,34.5,Safe
Goa,33.1,Heavy Rain,5.2,Moderate
Tirupati,30.7,Clear,35.1,Safe
Jaipur,28.8,Clear,24.2,Safe
Mysuru,12.8,Clear,19.7,Safe
Jaisalmer,37.3,Clear,77.3,Moderate
Delhi,36.9,Clear,26.4,Safe
Jaisalmer,22.2,Clear,30.9,Safe
Manali,1.7,Heavy Snow,17.1,Moderate
